time,T_mean,precip_tot,T_min,T_max
12.11.2021 00:00,2.5,0.0,2.5,2.6
12.11.2021 01:00,2.5,0.0,2.5,2.5
12.11.2021 02:00,2.5,0.0,2.2,2.5
12.11.2021 03:00,2.2,0.0,2.1,2.3
12.11.2021 04:00,1.9,0.0,1.9,2.0
12.11.2021 05:00,1.8,0.0,1.6,2.0
12.11.2021 06:00,1.5,0.0,1.3,1.7
12.11.2021 07:00,1.2,0.0,1.1,1.2
12.11.2021 08:00,1.2,0.0,1.0,1.4
12.11.2021 09:00,1.5,0.0,1.2,1.8
12.11.2021 10:00,2.5,0.0,1.9,3.0
12.11.2021 11:00,3.2,0.0,3.0,3.6
12.11.2021 12:00,3.6,0.0,3.5,3.8
12.11.2021 13:00,4.1,0.0,3.8,4.3
12.11.2021 14:00,4.5,0.0,4.2,4.7
12.11.2021 15:00,4.7,0.0,4.5,4.8
12.11.2021 16:00,4.2,0.0,4.1,4.4
12.11.2021 17:00,4.0,0.0,3.9,4.1
12.11.2021 18:00,3.8,0.0,3.6,4.0
12.11.2021 19:00,3.7,0.0,3.6,3.7
12.11.2021 20:00,3.5,0.2,3.5,3.6
12.11.2021 21:00,3.2,0.0,3.0,3.5
12.11.2021 22:00,3.3,0.0,3.1,3.5
12.11.2021 23:00,3.7,0.0,3.6,3.9
13.11.2021 00:00,3.7,0.0,3.7,3.8
13.11.2021 01:00,3.4,0.0,3.2,3.4
13.11.2021 02:00,3.4,0.0,3.2,3.5
13.11.2021 03:00,3.2,0.0,3.1,3.4
13.11.2021 04:00,3.4,0.0,3.3,3.5
13.11.2021 05:00,3.2,0.0,3.0,3.5
13.11.2021 06:00,2.9,0.2,2.6,3.2
13.11.2021 07:00,3.0,0.0,2.7,3.1
13.11.2021 08:00,3.3,0.2,3.2,3.5
13.11.2021 09:00,4.1,0.0,3.8,4.4
13.11.2021 10:00,4.8,0.0,4.5,5.1
13.11.2021 11:00,5.5,0.0,5.3,5.7
13.11.2021 12:00,5.9,0.0,5.7,6.3
13.11.2021 13:00,6.8,0.0,6.4,7.0
13.11.2021 14:00,7.1,0.2,7.0,7.1
13.11.2021 15:00,6.9,0.2,6.9,7.0
13.11.2021 16:00,6.8,0.0,6.7,6.9
13.11.2021 17:00,6.6,0.4,6.6,6.7
13.11.2021 18:00,6.6,0.8,6.6,6.6
13.11.2021 19:00,6.4,0.2,6.2,6.6
13.11.2021 20:00,5.9,0.0,5.7,6.1
13.11.2021 21:00,6.0,0.0,5.9,6.1
13.11.2021 22:00,6.4,0.0,6.2,6.6
13.11.2021 23:00,6.7,0.0,6.6,6.8
14.11.2021 00:00,6.8,0.0,6.7,6.9
14.11.2021 01:00,6.9,0.0,6.8,7.0
14.11.2021 02:00,7.0,0.2,7.0,7.0
14.11.2021 03:00,6.8,0.6,6.7,7.0
14.11.2021 04:00,6.7,0.4,6.6,6.8
14.11.2021 05:00,6.6,0.2,6.6,6.6
14.11.2021 06:00,6.5,0.0,6.5,6.6
14.11.2021 07:00,6.4,0.0,6.4,6.4
14.11.2021 08:00,6.5,0.0,6.3,6.7
14.11.2021 09:00,7.0,0.2,6.8,7.2
14.11.2021 10:00,7.3,0.0,7.2,7.4
14.11.2021 11:00,7.7,0.2,7.5,7.8
14.11.2021 12:00,7.9,0.0,7.8,8.0
14.11.2021 13:00,8.0,0.0,7.9,8.1
14.11.2021 14:00,7.9,0.0,7.8,8.1
14.11.2021 15:00,7.6,0.2,7.4,7.8
14.11.2021 16:00,7.4,0.2,7.3,7.4
14.11.2021 17:00,7.4,0.0,7.3,7.4
14.11.2021 18:00,7.2,0.0,7.0,7.4
14.11.2021 19:00,6.8,0.0,6.7,7.0
14.11.2021 20:00,6.6,0.0,6.5,6.7
14.11.2021 21:00,6.4,0.0,6.3,6.4
14.11.2021 22:00,6.1,0.0,6.1,6.3
14.11.2021 23:00,6.0,0.0,6.0,6.0
15.11.2021 00:00,6.0,0.0,5.9,6.0
15.11.2021 01:00,5.8,0.0,5.7,5.9
15.11.2021 02:00,5.7,0.0,5.7,5.7
15.11.2021 03:00,5.7,0.0,5.6,5.7
15.11.2021 04:00,5.4,0.0,5.3,5.6
15.11.2021 05:00,5.2,0.0,5.2,5.3
15.11.2021 06:00,5.0,0.0,4.9,5.1
15.11.2021 07:00,4.8,0.0,4.8,4.9
15.11.2021 08:00,4.8,0.0,4.8,4.8
15.11.2021 09:00,4.8,0.0,4.8,4.8
15.11.2021 10:00,4.9,0.0,4.8,4.9
15.11.2021 11:00,4.9,0.0,4.9,5.0
15.11.2021 12:00,5.2,0.0,5.0,5.5
15.11.2021 13:00,5.2,0.0,5.2,5.3
15.11.2021 14:00,5.2,0.0,5.1,5.3
15.11.2021 15:00,5.2,0.0,5.1,5.3
15.11.2021 16:00,5.0,0.0,4.9,5.0
15.11.2021 17:00,4.8,0.0,4.7,4.9
15.11.2021 18:00,4.6,0.0,4.5,4.7
