time,T_mean,precip_tot,T_min,T_max
26.10.2018 00:00,7.3,0.0,7.2,7.5
26.10.2018 01:00,8.1,0.0,7.8,8.3
26.10.2018 02:00,8.1,0.0,7.9,8.3
26.10.2018 03:00,8.0,0.0,8.0,8.1
26.10.2018 04:00,8.0,0.0,8.0,8.1
26.10.2018 05:00,8.2,0.0,8.2,8.3
26.10.2018 06:00,8.5,0.0,8.3,8.6
26.10.2018 07:00,8.4,0.0,8.3,8.5
26.10.2018 08:00,9.0,0.0,8.6,9.4
26.10.2018 09:00,10.3,0.0,9.6,10.8
26.10.2018 10:00,11.5,0.0,11.4,11.6
26.10.2018 11:00,13.3,0.0,12.2,14.3
26.10.2018 12:00,14.6,0.0,14.0,15.1
26.10.2018 13:00,15.3,0.0,15.0,15.5
26.10.2018 14:00,15.3,0.0,15.2,15.4
26.10.2018 15:00,13.8,0.0,13.3,15.0
26.10.2018 16:00,12.0,0.0,11.0,13.0
26.10.2018 17:00,10.9,0.0,10.7,11.1
26.10.2018 18:00,10.1,0.0,9.8,10.6
26.10.2018 19:00,9.3,0.0,9.1,9.6
26.10.2018 20:00,8.8,0.0,8.6,9.0
26.10.2018 21:00,8.1,0.0,7.8,8.4
26.10.2018 22:00,7.8,0.0,7.8,7.9
26.10.2018 23:00,7.6,0.0,7.4,7.8
27.10.2018 00:00,7.3,0.0,7.2,7.4
27.10.2018 01:00,7.3,0.0,7.2,7.4
27.10.2018 02:00,7.4,0.0,7.3,7.5
27.10.2018 03:00,7.2,0.8,7.0,7.4
27.10.2018 04:00,6.8,2.6,6.7,6.9
27.10.2018 05:00,6.8,1.2,6.8,6.9
27.10.2018 06:00,6.8,1.2,6.7,6.9
27.10.2018 07:00,6.9,1.4,6.9,7.0
27.10.2018 08:00,6.8,1.8,6.6,6.9
27.10.2018 09:00,6.6,2.0,5.9,6.9
27.10.2018 10:00,5.4,1.0,5.3,5.5
27.10.2018 11:00,5.4,1.0,5.3,5.5
27.10.2018 12:00,5.1,1.0,4.8,5.4
27.10.2018 13:00,4.8,1.0,4.7,4.9
27.10.2018 14:00,4.4,0.4,4.4,4.6
27.10.2018 15:00,4.3,0.6,4.2,4.4
27.10.2018 16:00,4.1,1.0,4.0,4.2
27.10.2018 17:00,4.0,0.6,4.0,4.0
27.10.2018 18:00,3.9,1.2,3.9,3.9
27.10.2018 19:00,3.7,0.6,3.6,3.9
27.10.2018 20:00,3.4,1.0,3.4,3.5
27.10.2018 21:00,3.3,0.4,3.2,3.5
27.10.2018 22:00,3.1,1.0,3.0,3.2
27.10.2018 23:00,3.0,1.0,2.9,3.0
28.10.2018 00:00,2.7,0.6,2.6,2.9
28.10.2018 01:00,2.4,0.8,2.3,2.5
28.10.2018 02:00,1.6,1.8,0.9,2.2
28.10.2018 03:00,0.7,0.4,0.7,0.8
28.10.2018 04:00,0.7,0.6,0.6,0.8
28.10.2018 05:00,0.9,0.6,0.8,1.0
28.10.2018 06:00,1.3,0.6,1.0,1.6
28.10.2018 07:00,1.9,0.2,1.7,2.1
28.10.2018 08:00,2.3,0.0,2.2,2.5
28.10.2018 09:00,2.6,0.0,2.5,2.7
28.10.2018 10:00,2.8,0.0,2.7,2.8
28.10.2018 11:00,2.7,0.2,2.7,2.8
28.10.2018 12:00,2.5,0.0,2.5,2.6
28.10.2018 13:00,2.5,0.0,2.4,2.5
28.10.2018 14:00,2.3,0.0,2.2,2.3
28.10.2018 15:00,2.2,0.0,2.2,2.2
28.10.2018 16:00,2.2,0.0,2.1,2.3
28.10.2018 17:00,2.3,0.0,2.3,2.4
28.10.2018 18:00,2.4,0.0,2.4,2.4
28.10.2018 19:00,2.4,0.0,2.4,2.4
28.10.2018 20:00,2.3,0.0,2.3,2.3
28.10.2018 21:00,2.3,0.0,2.3,2.3
28.10.2018 22:00,2.4,0.0,2.4,2.5
28.10.2018 23:00,2.4,0.2,2.4,2.5
29.10.2018 00:00,2.6,0.0,2.5,2.6
29.10.2018 01:00,2.5,0.0,2.3,2.7
29.10.2018 02:00,2.2,0.0,2.2,2.3
29.10.2018 03:00,2.3,0.0,2.3,2.4
