,time,T_mean
0,2021-10-01 00:00:00,5.9
1,2021-10-01 01:00:00,5.6
2,2021-10-01 02:00:00,5.2
3,2021-10-01 03:00:00,4.8
4,2021-10-01 04:00:00,4.7
5,2021-10-01 05:00:00,4.5
6,2021-10-01 06:00:00,4.3
7,2021-10-01 07:00:00,6.2
8,2021-10-01 08:00:00,8.9
9,2021-10-01 09:00:00,11.2
10,2021-10-01 10:00:00,13.4
11,2021-10-01 11:00:00,15.0
12,2021-10-01 12:00:00,17.2
13,2021-10-01 13:00:00,17.9
14,2021-10-01 14:00:00,19.1
15,2021-10-01 15:00:00,19.6
16,2021-10-01 16:00:00,19.1
17,2021-10-01 17:00:00,16.0
18,2021-10-01 18:00:00,13.3
19,2021-10-01 19:00:00,12.0
20,2021-10-01 20:00:00,11.7
21,2021-10-01 21:00:00,11.0
22,2021-10-01 22:00:00,10.5
23,2021-10-01 23:00:00,10.5
24,2021-10-02 00:00:00,11.3
25,2021-10-02 01:00:00,13.6
26,2021-10-02 02:00:00,15.4
27,2021-10-02 03:00:00,14.7
28,2021-10-02 04:00:00,13.6
29,2021-10-02 05:00:00,13.6
30,2021-10-02 06:00:00,13.4
31,2021-10-02 07:00:00,13.9
32,2021-10-02 08:00:00,14.9
33,2021-10-02 09:00:00,16.8
34,2021-10-02 10:00:00,19.1
35,2021-10-02 11:00:00,19.8
36,2021-10-02 12:00:00,20.2
37,2021-10-02 13:00:00,20.7
38,2021-10-02 14:00:00,21.2
39,2021-10-02 15:00:00,20.8
40,2021-10-02 16:00:00,19.5
41,2021-10-02 17:00:00,18.0
42,2021-10-02 18:00:00,15.3
43,2021-10-02 19:00:00,13.6
44,2021-10-02 20:00:00,12.3
45,2021-10-02 21:00:00,11.7
46,2021-10-02 22:00:00,11.6
47,2021-10-02 23:00:00,11.7
48,2021-10-03 00:00:00,11.4
49,2021-10-03 01:00:00,10.6
50,2021-10-03 02:00:00,10.7
51,2021-10-03 03:00:00,10.7
52,2021-10-03 04:00:00,10.3
53,2021-10-03 05:00:00,10.7
54,2021-10-03 06:00:00,10.4
55,2021-10-03 07:00:00,11.8
56,2021-10-03 08:00:00,14.0
57,2021-10-03 09:00:00,15.7
58,2021-10-03 10:00:00,16.7
59,2021-10-03 11:00:00,18.5
60,2021-10-03 12:00:00,19.4
61,2021-10-03 13:00:00,19.2
62,2021-10-03 14:00:00,19.4
63,2021-10-03 15:00:00,19.3
64,2021-10-03 16:00:00,18.6
65,2021-10-03 17:00:00,17.9
66,2021-10-03 18:00:00,16.6
67,2021-10-03 19:00:00,16.1
68,2021-10-03 20:00:00,15.2
69,2021-10-03 21:00:00,14.5
70,2021-10-03 22:00:00,13.7
71,2021-10-03 23:00:00,13.3
72,2021-10-04 00:00:00,12.4
73,2021-10-04 01:00:00,12.3
74,2021-10-04 02:00:00,12.3
75,2021-10-04 03:00:00,11.8
76,2021-10-04 04:00:00,10.6
77,2021-10-04 05:00:00,10.4
78,2021-10-04 06:00:00,10.4
79,2021-10-04 07:00:00,10.4
80,2021-10-04 08:00:00,10.6
81,2021-10-04 09:00:00,10.6
82,2021-10-04 10:00:00,11.0
83,2021-10-04 11:00:00,11.2
84,2021-10-04 12:00:00,12.0
85,2021-10-04 13:00:00,12.4
86,2021-10-04 14:00:00,12.6
87,2021-10-04 15:00:00,13.0
88,2021-10-04 16:00:00,12.7
89,2021-10-04 17:00:00,12.4
