,time,T_mean,T_min,T_max,precip_tot
0,2017-01-10 00:00:00,10.0,10.0,10.1,0.2
1,2017-01-10 01:00:00,10.0,9.9,10.1,0.0
2,2017-01-10 02:00:00,10.0,9.9,10.1,0.0
3,2017-01-10 03:00:00,10.1,10.0,10.2,0.0
4,2017-01-10 04:00:00,10.2,10.2,10.3,0.0
5,2017-01-10 05:00:00,10.1,10.1,10.2,0.0
6,2017-01-10 06:00:00,10.2,10.0,10.9,0.0
7,2017-01-10 07:00:00,11.0,10.7,11.6,0.0
8,2017-01-10 08:00:00,11.5,11.2,12.0,0.0
9,2017-01-10 09:00:00,12.7,11.8,13.6,0.0
10,2017-01-10 10:00:00,13.9,13.2,14.4,0.0
11,2017-01-10 11:00:00,14.6,14.4,14.9,0.0
12,2017-01-10 12:00:00,14.7,14.5,14.9,0.0
13,2017-01-10 13:00:00,14.9,14.6,15.2,0.0
14,2017-01-10 14:00:00,14.8,14.7,14.9,0.0
15,2017-01-10 15:00:00,14.8,14.7,15.1,0.0
16,2017-01-10 16:00:00,14.0,13.4,14.5,0.0
17,2017-01-10 17:00:00,12.5,12.0,12.9,0.0
18,2017-01-10 18:00:00,11.6,11.2,11.9,0.0
19,2017-01-10 19:00:00,10.8,10.5,11.2,0.0
20,2017-01-10 20:00:00,10.5,10.2,10.8,0.0
21,2017-01-10 21:00:00,10.5,10.2,10.9,0.0
22,2017-01-10 22:00:00,10.6,10.5,10.7,0.0
23,2017-01-10 23:00:00,10.3,10.3,10.3,0.0
24,2017-02-10 00:00:00,10.4,10.3,10.4,0.0
25,2017-02-10 01:00:00,10.5,10.4,10.5,0.0
26,2017-02-10 02:00:00,10.5,10.4,10.6,0.0
27,2017-02-10 03:00:00,10.5,10.4,10.6,0.0
28,2017-02-10 04:00:00,10.3,10.3,10.4,0.0
29,2017-02-10 05:00:00,10.2,10.1,10.5,0.0
30,2017-02-10 06:00:00,11.2,10.8,11.9,0.0
31,2017-02-10 07:00:00,12.9,12.3,13.2,0.0
32,2017-02-10 08:00:00,13.8,13.6,14.1,0.0
33,2017-02-10 09:00:00,14.1,13.6,14.6,0.2
34,2017-02-10 10:00:00,14.5,14.2,14.8,0.0
35,2017-02-10 11:00:00,14.7,14.4,14.9,0.0
36,2017-02-10 12:00:00,15.3,14.9,16.0,0.0
37,2017-02-10 13:00:00,16.3,16.1,16.5,0.0
38,2017-02-10 14:00:00,15.9,15.7,16.1,0.0
39,2017-02-10 15:00:00,15.8,15.6,16.0,0.0
40,2017-02-10 16:00:00,15.5,15.2,15.7,0.0
41,2017-02-10 17:00:00,15.2,15.1,15.3,0.0
42,2017-02-10 18:00:00,15.1,15.1,15.3,0.0
43,2017-02-10 19:00:00,15.4,15.3,15.6,0.0
44,2017-02-10 20:00:00,15.5,15.2,15.7,0.0
45,2017-02-10 21:00:00,14.9,14.9,15.0,0.0
46,2017-02-10 22:00:00,14.9,14.7,15.0,0.0
47,2017-02-10 23:00:00,14.9,14.8,14.9,0.0
48,2017-03-10 00:00:00,15.2,14.9,15.5,0.0
49,2017-03-10 01:00:00,15.8,15.6,15.9,0.0
50,2017-03-10 02:00:00,15.4,15.2,15.8,0.0
51,2017-03-10 03:00:00,15.2,15.0,15.3,0.0
52,2017-03-10 04:00:00,15.8,15.2,16.2,0.0
53,2017-03-10 05:00:00,15.5,15.4,15.5,0.2
54,2017-03-10 06:00:00,15.9,15.6,16.1,0.0
55,2017-03-10 07:00:00,13.1,12.5,15.0,12.0
56,2017-03-10 08:00:00,12.6,12.4,12.8,0.6
57,2017-03-10 09:00:00,13.1,13.0,13.3,0.2
58,2017-03-10 10:00:00,14.1,13.3,15.4,0.0
59,2017-03-10 11:00:00,14.5,13.8,15.5,0.0
60,2017-03-10 12:00:00,15.6,15.0,16.6,0.0
61,2017-03-10 13:00:00,16.0,15.3,16.8,0.0
62,2017-03-10 14:00:00,16.6,15.5,17.3,0.0
63,2017-03-10 15:00:00,16.7,16.1,17.1,0.0
64,2017-03-10 16:00:00,14.7,13.5,15.9,0.0
65,2017-03-10 17:00:00,13.0,12.9,13.1,0.0
66,2017-03-10 18:00:00,12.3,11.3,13.1,0.0
67,2017-03-10 19:00:00,10.9,10.7,11.3,0.0
