date,LAI_value,BBCH
2017-03-29,1.644444444,25.0
2017-04-05,2.385777778,26.0
2017-04-10,2.316074074,28.0
2017-04-21,3.596333333,28.0
2017-05-02,3.869222222,30.0
2017-05-10,4.561555556,30.0
2017-05-16,5.119666667,32.0
2017-05-26,6.152555556,33.0
2017-05-29,5.847444444,45.0
2017-06-02,5.870888889,58.0
2017-06-08,6.200888889,61.0
2017-06-13,5.502078066,65.0
2017-06-19,5.838606027,69.0
2017-06-26,5.544074659,75.0
2017-07-06,5.371039365,83.0
2017-07-17,0.761747067,87.0
2018-04-04,0.280966667,26.0
2018-04-12,1.450777778,28.0
2018-04-18,3.099111111,30.0
2018-04-27,3.826055556,31.0
2018-05-07,4.955,32.0
2018-05-25,5.931555556,58.0
2018-05-30,5.264888889,60.0
2018-06-07,6.376888889,61.0
2018-06-15,5.383799589,65.0
2018-06-21,5.98272587383597,69.0
2018-07-03,3.285020906,85.0
2018-07-13,0.0,87.0
2020-03-18,0.616,25.8
2020-03-27,0.934933333333333,26.0
2020-04-02,1.4856,28.0
2020-04-08,1.897,28.0
2020-04-16,3.14366666666667,29.0
2020-04-22,3.76416666666667,31.0
2020-05-07,4.97266666666667,32.0
2020-05-18,5.52533333333334,33.0
2020-05-27,6.2082,51.0
2020-06-03,5.739,58.0
2020-06-23,6.09366666666667,69.0
2020-06-24,6.025,69.0
2020-07-01,5.63366666666667,73.0
2020-07-09,4.932,77.0
2020-07-23,1.107,89.0
2020-07-27,0.0,92.0
2021-03-03,0.2153438888888889,13.0
2021-03-26,0.40017777777777774,26.0
2021-04-01,0.8232111111111112,27.0
2021-04-09,1.060311111111111,28.0
2021-04-21,1.6071111111111112,29.0
2021-05-03,3.1038888888888887,29.0
2021-05-10,3.3196666666666665,30.0
2021-05-17,4.326333333333333,31.0
2021-06-11,4.611666666666666,57.0
2021-07-07,5.339812401773518,75.0
2021-07-12,1.9494975578246574,75.0
2021-07-21,0.17704579152112976,85.0
2022-04-12,1.1232777777777778,27.0
2022-04-21,1.5911111111111111,29.0
2022-04-28,2.128111111111111,29.0
2022-05-12,3.5012222222222222,32.0
2022-05-19,3.3,33.0
2022-05-31,3.0780000000000003,59.0
2022-06-08,3.802777777777778,65.0
2022-06-14,3.2536666666666667,73.0
2022-06-20,4.426111111111112,77.0
2022-06-30,1.564261111111111,83.0
2022-07-14,0.0,89.0
2022-07-18,0.0,92.0
